"이름","카테고리","도로명주소","지번주소","일반전화","안심번호","영업시간","썸네일이미지URL","방문자 리뷰수","방문자 평점","블로그 리뷰수","위도","경도","매장정보","부가설명","홈페이지URL","사진리뷰수","상세페이지URL","해시태그","created_at"
"더리턴피부과의원","피부과","대전 유성구 계룡로 114 8층 803호","대전 유성구 봉명동 1016-3","042-716-6080","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:00 - 20:0012:30 - 14:00 휴게시간,금10:00 - 20:0012:30 - 14:00 휴게시간,토09:30 - 15:30,일정기휴무 (매주 일요일),월10:00 - 20:0012:30 - 14:00 휴게시간,화10:00 - 20:0012:30 - 14:00 휴게시간,수10:00 - 20:0012:30 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190509_112%2F1557399412039XvihI_JPEG%2Fy6cWmVH1rxSzdvncEk6Gnb5M.jpg","1055","","779","36.3525028","127.3429605","무선 인터넷, 주차, 예약, 남/녀 화장실 구분","","https://blog.naver.com/euhafxoxjv","13","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1819843361?c=10.00,0,0,0,dh","","2024-05-23 15:24:40 +0900"
"에스티피부과의원","피부과","대전 서구 계룡로 586 KOREA MEDICAL TOWER 3층","대전 서구 괴정동 5-9","042-535-5800","","진료 중18:20에 접수마감18시 20분에 접수마감,목09:40 - 18:4013:00 - 14:00 휴게시간18:20 접수마감,금09:40 - 19:4013:00 - 14:00 휴게시간19:20 접수마감,토09:30 - 14:0013:40 접수마감,일정기휴무 (매주 일요일),월09:40 - 19:4013:00 - 14:00 휴게시간19:20 접수마감,화09:40 - 18:4013:00 - 14:00 휴게시간18:20 접수마감,수정기휴무 (매주 수요일),06/06 현충일 휴무,- 화,방송출연10:30~12:10진료안됨/접수1시간전마감접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240222_176%2F1708583423087J2xOD_PNG%2F01.png","719","","557","36.3416048","127.3884977","예약, 주차","","http://www.skintrans.com/","5","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/11481160?c=11.00,0,0,0,dh","","2024-05-23 15:24:40 +0900"
"에스에이피부과의원","피부과","대전 유성구 은구비로155번안길 35","대전 유성구 죽동 621-8","0507-1350-7189","","오늘 휴무05/23 휴무05/23 휴무,목(5/23)휴무,금09:00 - 18:0012:30 - 14:00 휴게시간,토08:30 - 13:00,일정기휴무 (매주 일요일),월09:00 - 18:0012:30 - 14:00 휴게시간,화09:00 - 18:0012:30 - 14:00 휴게시간,수09:00 - 18:0012:30 - 14:00 휴게시간,05/30 , 06/06 현충일 휴무,- 100%예약제 입니다.접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190121_150%2F1548058926141DhVVS_JPEG%2F2O4Ie40M816e25L1juacKyPg.jpg","616","","27","36.3800147","127.3263186","예약, 남/녀 화장실 구분, 무선 인터넷, 주차","","https://blog.naver.com/saclinic","15","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/35179059?c=10.00,0,0,0,dh","","2024-05-23 15:24:41 +0900"
"아이워너비의원","피부과","대전 유성구 엑스포로 1 신세계 엑스포점 4층","대전 유성구 도룡동 3-1","1544-4539","","진료 중19:30에 접수마감19시 30분에 접수마감,목10:00 - 20:0019:30 접수마감,금10:00 - 20:0019:30 접수마감,토10:00 - 16:0015:30 접수마감,일정기휴무 (매주 일요일),월10:00 - 20:0019:30 접수마감,화10:00 - 20:0019:30 접수마감,수10:00 - 20:0019:30 접수마감접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210825_103%2F16298539231494YJrt_JPEG%2FPmLMzigsA2HwWfwzruQQTEPN.jpg","1181","","214","36.3748207","127.3834982","주차, 무선 인터넷, 남/녀 화장실 구분, 예약","","http://iwannabeclinic.com","140","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1468690447?c=10.00,0,0,0,dh","","2024-05-23 15:24:45 +0900"
"예쁨의원","피부과","대전 중구 계백로 1712 5층 예쁨의원","대전 중구 문화동 1-13","0507-1461-2011","","진료 중20:30에 진료 종료20시 30분에 진료 종료,목10:00 - 20:3013:00 - 14:00 휴게시간,금10:00 - 20:3013:00 - 14:00 휴게시간,토10:00 - 16:00,일정기휴무 (매주 일요일),월10:00 - 20:3013:00 - 14:00 휴게시간,화10:00 - 20:3013:00 - 14:00 휴게시간,수10:00 - 20:3013:00 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230615_67%2F1686810925299MBL7j_JPEG%2F%25BF%25B9%25BB%25DD%25B7%25CE%25B0%25ED.jpg","412","","68","36.321141","127.4097487","주차, 무선 인터넷, 남/녀 화장실 구분","","http://www.daejeonyebbeum.com","105","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1959381307?c=10.00,0,0,0,dh","","2024-05-23 15:24:45 +0900"
"스타피부과의원","피부과","대전 유성구 원신흥남로28번길 88 2층 201호","대전 유성구 원신흥동 558-4","0507-1498-2086","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:00 - 19:0013:00 - 14:00 휴게시간,금10:00 - 19:0013:00 - 14:00 휴게시간,토09:30 - 15:00,일정기휴무 (매주 일요일),월10:00 - 19:0013:00 - 14:00 휴게시간,화10:00 - 19:0013:00 - 14:00 휴게시간,수14:00 - 19:00,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240503_27%2F1714702401071OCbBo_PNG%2F%25BD%25BA%25B8%25B6%25C6%25AE%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_1.png","46","","8","36.3325703","127.340543","단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 대기공간, 간편결제, 주차","","http://www.starderma.co.kr/","13","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1084146229?c=10.00,0,0,0,dh","","2024-05-23 15:24:46 +0900"
"현대우리들의원","내과","대전 유성구 문화원로 14","대전 유성구 장대동 353-5","0507-1354-8050","","진료 중18:30에 진료 종료18시 30분에 진료 종료,목09:00 - 18:3012:00 - 13:30 휴게시간,금09:00 - 18:3012:00 - 13:30 휴게시간,토09:00 - 13:00,일정기휴무 (매주 일요일),월09:00 - 18:3012:00 - 13:30 휴게시간,화09:00 - 18:3012:00 - 13:30 휴게시간,수09:00 - 12:00,06/06 현충일 휴무,- 수요일 오후진료 휴진.접수마감 11시30분접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160902_25%2F1472795262041M1W3z_JPEG%2F176852547761037_0.jpeg","126","","1","36.3613936","127.3377906","예약, 주차, 무선 인터넷, 남/녀 화장실 구분","","http://hwoori.ilikedoc.kr/","1","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/21560434?c=10.00,0,0,0,dh","","2024-05-23 15:24:55 +0900"
"필보레의원 대전유성","피부과","대전 유성구 대학로 9 4층, 5층","대전 유성구 봉명동 552-13","0507-1427-2307","","진료 중19:00에 접수마감19시 0분에 접수마감,목10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,금10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,토10:00 - 16:0012:00 - 12:30 휴게시간15:00 접수마감,일정기휴무 (매주 일요일),월10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,화10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,수10:00 - 20:0013:00 - 14:00 휴게시간19:00 접수마감,- 휴무일 관련 자세한 내용은 블로그 안내를 확인해주세요접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240509_23%2F1715232256313AIh7G_JPEG%2FKakaoTalk_20240503_103651260_03.jpg","729","","393","36.354737","127.3413823","무선 인터넷, 예약, 주차","","http://djys-creamy.co.kr/","47","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1029229114?c=10.00,0,0,0,dh","","2024-05-23 15:24:57 +0900"
"연세휴의원","피부과","대전 중구 계백로 1712-1 백화점세이 3관 3층","대전 중구 문화동 1-60","0507-1411-7666","","진료 중20:00에 진료 종료20시 0분에 진료 종료,목10:30 - 20:00,금10:30 - 19:00,토10:00 - 15:00,일정기휴무 (매주 일요일),월10:30 - 20:00,화10:30 - 19:00,수10:30 - 19:00접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190920_102%2F1568953393654QOhJb_JPEG%2F5nE9NcMfGD5OygXvhsfjkYk8.jpg","551","","1330","36.3204847","127.4098368","","","http://yshclinic.co.kr/","13","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/12015026?c=10.00,0,0,0,dh","","2024-05-23 15:24:57 +0900"
"성범진피부과의원","피부과","대전 중구 계백로 1592 2층","대전 중구 유천동 210-8","042-581-2375","","진료 중18:30에 진료 종료18시 30분에 진료 종료,목09:00 - 18:3012:30 - 14:00 휴게시간,금09:00 - 18:3012:30 - 14:00 휴게시간,토08:30 - 15:00,일정기휴무 (매주 일요일),월09:00 - 18:3012:30 - 14:00 휴게시간,화09:00 - 18:3012:30 - 14:00 휴게시간,수09:00 - 13:00,06/06 현충일 휴무,- ●토요일(점심시간 없이)진료 ●일요일/공휴일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220731_76%2F16592485490112nssP_JPEG%2F1659248185152.jpg","1320","","8","36.3180046","127.3971596","주차, 무선 인터넷, 남/녀 화장실 구분","","http://sbjskinclinic.co.kr","24","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/13246674?c=10.00,0,0,0,dh","","2024-05-23 15:24:57 +0900"
"유천동한사랑의원","내과","대전 중구 계백로 1543","대전 중구 유천동 327-9","042-532-7577","","진료 중22:00에 진료 종료22시 0분에 진료 종료,목15:00 - 22:00,금15:00 - 22:00,토15:00 - 22:00,일14:00 - 22:00,월15:00 - 22:00,화15:00 - 22:00,수15:00 - 22:00접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200502_148%2F15884093569782UEx0_JPEG%2FXDKPAT4NkLwqDXRmE4O1Vq1X.jpeg.jpg","177","","2","36.3171784","127.3917552","","","","4","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/13246458?c=10.00,0,0,0,dh","","2024-05-23 15:24:58 +0900"
"올뷰티의원","피부과","대전 유성구 도안대로 512-12 301호","대전 유성구 봉명동 1047-1","042-822-9787","","진료 중18:00에 접수마감18시 0분에 접수마감,목09:30 - 18:3013:00 - 14:00 휴게시간18:00 접수마감,금09:30 - 21:0013:00 - 14:00 휴게시간20:30 접수마감,토09:30 - 14:0013:30 접수마감,일정기휴무 (매주 일요일),월(5/27)휴무,화(5/28)휴무,수(5/29)휴무,05/27-05/30 , 06/06 현충일 휴무,- 공휴일 있는 주는 수요일에 정상 진료접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240203_146%2F17069186666299Aj2x_JPEG%2FKakaoTalk_20240202_122917394.jpg","789","","239","36.3456555","127.3408727","주차, 무선 인터넷, 예약, 남/녀 화장실 구분","","http://allbeautyclinic.co.kr","38","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1942359356?c=10.00,0,0,0,dh","","2024-05-23 15:25:00 +0900"
"더블유피부과의원 오류세이점","피부과","대전 중구 계백로 1711-1 4층","대전 중구 오류동 156-5","042-533-5575","","진료 중18:10에 접수마감18시 10분에 접수마감,목09:30 - 18:4012:30 - 14:00 휴게시간18:10 접수마감,금09:30 - 19:0012:30 - 14:00 휴게시간18:30 접수마감,토09:30 - 15:0012:30 - 13:00 휴게시간14:30 접수마감,일정기휴무 (매주 일요일),월09:30 - 18:4012:30 - 14:00 휴게시간18:10 접수마감,화09:30 - 18:4012:30 - 14:00 휴게시간18:10 접수마감,수14:00 - 18:4018:10 접수마감,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200616_6%2F1592286316543g9qhd_JPEG%2FlfWYBnEyiEyhLLM00NCFLR7r.JPG.jpg","630","","14","36.3219132","127.409563","","","http://www.mywskin.com/","5","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/32520581?c=10.00,0,0,0,dh","","2024-05-23 15:25:03 +0900"
"노은화이트필의원","피부과","대전 유성구 은구비남로33번길 5 경남아너스빌2","대전 유성구 지족동 905-5 204","042-826-3663","","오늘 휴무매주 목요일 휴무매주 목요일 휴무,목정기휴무 (매주 목요일),금15:00 - 18:00,토09:00 - 12:00,일15:00 - 18:00,월08:30 - 12:00,화정기휴무 (매주 화요일),수정기휴무 (매주 수요일),06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_6%2F1441033434231grBFm_JPEG%2F12880748_0.jpg","53","","0","36.3723842","127.3191217","주차, 무선 인터넷, 예약","","","1","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/12880748?c=10.00,0,0,0,dh","","2024-05-23 15:25:04 +0900"
"더블유피부과의원 유성","피부과","대전 유성구 계룡로132번길 10 도안센트럴프라자 2층 (207호)","대전 유성구 봉명동 1016-7","042-471-1151","","오늘 휴무매주 목요일 휴무매주 목요일 휴무,목정기휴무 (매주 목요일),금10:00 - 18:3012:30 - 14:00 휴게시간,토09:30 - 13:00,일정기휴무 (매주 일요일),월10:00 - 18:3012:30 - 14:00 휴게시간,화10:00 - 18:3012:30 - 14:00 휴게시간,수10:00 - 18:3012:30 - 14:00 휴게시간,06/06-06/08 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220316_145%2F16474087046630mUiT_JPEG%2F02.jpg","339","","177","36.3522386","127.3445723","예약, 주차, 남/녀 화장실 구분","","https://www.yswskin.co.kr","1","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/32971619?c=10.00,0,0,0,dh","","2024-05-23 15:25:05 +0900"
"지엔미피부과의원","피부과","대전 중구 계백로 1709 누리보듬아파트 상가 3층 303,304호","대전 중구 오류동 157","0507-1345-9701","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목09:30 - 19:0012:30 - 14:00 휴게시간,금09:30 - 20:3012:30 - 14:00 휴게시간,토09:30 - 14:00,일정기휴무 (매주 일요일),월09:30 - 20:3012:30 - 14:00 휴게시간,화09:30 - 19:0012:30 - 14:00 휴게시간,수09:30 - 19:0012:30 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191206_115%2F15756003694073r04B_JPEG%2FU2-t-ntg7VNmKMhtroGCtWvp.jpg","382","","5","36.3218742","127.4089673","주차, 예약, 남/녀 화장실 구분, 무선 인터넷","","","1","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/19519872?c=10.00,0,0,0,dh","","2024-05-23 15:25:07 +0900"
"연세엘레슈의원 대전점","피부과","대전 유성구 계룡로 105 6층","대전 유성구 봉명동 551-10","042-471-6055","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:30 - 19:00,금10:30 - 20:30,토10:00 - 15:00,일정기휴무 (매주 일요일),월10:30 - 19:00,화10:30 - 20:30,수10:30 - 19:00,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210913_260%2F1631519851978JzxXa_JPEG%2F3M6rurNtFlsCXMZfWw68CNuu.jpg","91","","379","36.3537704","127.3424341","주차","","https://blog.naver.com/drkdj2","22","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/13111312?c=10.00,0,0,0,dh","","2024-05-23 15:25:07 +0900"
"시티피부과의원","피부과","대전 유성구 도안대로 591 301호","대전 유성구 봉명동 553-4","042-822-9919","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목09:30 - 19:0012:30 - 14:00 휴게시간,금09:30 - 20:00,토09:30 - 14:00,일정기휴무 (매주 일요일),월09:30 - 19:0012:30 - 14:00 휴게시간,화09:30 - 19:0012:30 - 14:00 휴게시간,수09:30 - 19:0012:30 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_225%2F1441006644540CptLO_JPEG%2F146974497147394_0.jpg","278","","2","36.3529806","127.3407629","예약, 주차, 남/녀 화장실 구분","","","3","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/12046728?c=10.00,0,0,0,dh","","2024-05-23 15:25:09 +0900"
"삼부의원","피부과","대전 중구 태평로 15 버드내코아 3층 306호","대전 중구 태평동 422-7","042-533-7713","","진료 중17:50에 접수마감17시 50분에 접수마감,목09:00 - 18:0012:30 - 14:00 휴게시간17:50 접수마감,금09:00 - 18:0012:30 - 14:00 휴게시간17:50 접수마감,토09:00 - 13:0012:50 접수마감,일정기휴무 (매주 일요일),월09:00 - 18:0012:30 - 14:00 휴게시간17:50 접수마감,화09:00 - 18:0012:30 - 14:00 휴게시간17:50 접수마감,수09:00 - 18:0012:30 - 14:00 휴게시간17:50 접수마감,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220909_4%2F1662711190282ekcYT_JPEG%2FIMG-9162.jpg","362","","216","36.3180542","127.391551","예약, 무선 인터넷, 단체 이용 가능, 남/녀 화장실 구분, 유아시설 (놀이방), 대기공간, 유아의자, 주차","","https://sbuclinic.modoo.at","21","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/13246485?c=10.00,0,0,0,dh","","2024-05-23 15:25:11 +0900"
"닥터올웨이즈피부과의원","피부과","대전 유성구 대학로 1 5층","대전 유성구 봉명동 552-6","042-322-7778","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:00 - 19:0013:00 - 14:00 휴게시간,금10:00 - 20:0013:00 - 14:00 휴게시간,토09:00 - 15:00,일정기휴무 (매주 일요일),월10:00 - 19:0013:00 - 14:00 휴게시간,화10:00 - 20:0013:00 - 14:00 휴게시간,수10:00 - 19:0013:00 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220422_210%2F1650612707444Iydal_PNG%2F3.COMBINATION_TYPE%2528kor%2529_%25BF%25C3%25BF%25FE%25C0%25CC%25C1%25EE%25C7%25C7%25BA%25CE%25B0%25FA-01.png","354","","71","36.3541124","127.341164","무선 인터넷, 남/녀 화장실 구분, 예약, 주차","","https://alwaysclinic.modoo.at","46","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1489082910?c=10.00,0,0,0,dh","","2024-05-23 15:25:11 +0900"
"조아피부과의원","피부과","대전 유성구 노은로 166 5층 501, 502호","대전 유성구 지족동 901-5","042-822-2075","","진료 중19:00에 진료 종료19시 0분에 진료 종료,목10:00 - 19:0013:00 - 14:00 휴게시간,금10:00 - 19:0013:00 - 14:00 휴게시간,토09:00 - 13:00,일정기휴무 (매주 일요일),월10:00 - 19:0013:00 - 14:00 휴게시간,화10:00 - 19:0013:00 - 14:00 휴게시간,수정기휴무 (매주 수요일),06/06 현충일 휴무,- 6일 (월/임시공휴일) , 7일(화) ,8일(수) 휴진접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200914_144%2F1600053990086EJOC7_JPEG%2FgjgwriTobOFsFwYnK77OD7YI.jpg","276","","14","36.3745557","127.3183754","예약, 주차, 무선 인터넷, 남/녀 화장실 구분","","http://www.joaskin.co.kr","2","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1267192653?c=10.00,0,0,0,dh","","2024-05-23 15:25:14 +0900"
"연세화온의원","피부과","대전 중구 계백로 1600 척척클리닉 3층 301호","대전 중구 유천동 185-1","042-721-7050","","진료 중19:30에 진료 종료19시 30분에 진료 종료,목09:30 - 19:3013:00 - 14:00 휴게시간,금09:30 - 18:3013:00 - 14:00 휴게시간,토09:00 - 14:00,일정기휴무 (매주 일요일),월09:30 - 19:3013:00 - 14:00 휴게시간,화09:30 - 18:3013:00 - 14:00 휴게시간,수09:00 - 14:00,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220913_167%2F16630320884066YK4I_JPEG%2F3.jpg","227","","26","36.3182203","127.3978419","주차, 예약, 무선 인터넷, 남/녀 화장실 구분, 장애인 편의시설","","http://연세화온.com/","13","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/1128767424?c=10.00,0,0,0,dh","","2024-05-23 15:25:15 +0900"
"럭스피부과의원","피부과","대전 유성구 노은로 178 504호","대전 유성구 지족동 901-2","042-485-1112","","오늘 휴무매주 목요일 휴무매주 목요일 휴무,목정기휴무 (매주 목요일),금10:00 - 20:0013:00 - 14:00 휴게시간,토09:00 - 14:00,일정기휴무 (매주 일요일),월10:00 - 19:0013:00 - 14:00 휴게시간,화10:00 - 19:0013:00 - 14:00 휴게시간,수10:00 - 19:0013:00 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240516_183%2F1715832851419I7mIY_PNG%2F%25B7%25B0%25BD%25BA_%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_240516.png","322","","477","36.3756014","127.3185157","예약, 주차","","http://luxskin.co.kr/","4","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/11889033?c=10.00,0,0,0,dh","","2024-05-23 15:25:16 +0900"
"눈부신의원","피부과","대전 유성구 노은로 174 도원프라자","대전 유성구 지족동 901-3","042-476-8500","","오늘 휴무매주 목요일 휴무매주 목요일 휴무,목정기휴무 (매주 목요일),금10:00 - 18:3012:30 - 14:00 휴게시간,토09:00 - 15:00,일정기휴무 (매주 일요일),월10:00 - 18:3012:30 - 14:00 휴게시간,화정기휴무 (매주 화요일),수10:00 - 18:3012:30 - 14:00 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170321_19%2F1490083904817qEJKo_JPEG%2F186267538256482_0.jpeg","466","","98","36.3752608","127.3183698","","","http://nbsskin.com/","8","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/34375843?c=10.00,0,0,0,dh","","2024-05-23 15:25:18 +0900"
"아름다운미의원","피부과","대전 중구 계백로 1689","대전 중구 오류동 165-6","042-526-7480","","진료 중16:30에 진료 종료16시 30분에 진료 종료,목09:30 - 16:3012:30 - 13:30 휴게시간,금09:30 - 16:3012:30 - 13:30 휴게시간,토09:30 - 12:30,일정기휴무 (매주 일요일),월09:30 - 16:3012:30 - 13:30 휴게시간,화09:30 - 16:3012:30 - 13:30 휴게시간,수09:30 - 16:3012:30 - 13:30 휴게시간,06/06 현충일 휴무접기","https://search.pstatic.net/common/?autoRotate=true&quality=100&type=f640_380&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191213_212%2F15762137801787AYD0_JPEG%2Fu_3rQXAZRFVTm-5emCvyF0PY.jpg","95","","2","36.3210965","127.4071349","","","","0","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/19533183?c=10.00,0,0,0,dh","","2024-05-23 15:25:22 +0900"
"진잠연합의원","내과","대전 유성구 원내로 37","대전 유성구 원내동 228-8","042-543-8100","","진료 중18:30에 진료 종료18시 30분에 진료 종료,목09:00 - 18:30,금09:00 - 18:30,토09:00 - 13:00,일정기휴무 (매주 일요일),월09:00 - 18:30,화09:00 - 18:30,수09:00 - 18:30,06/06 현충일 휴무접기","","126","","1","36.3000689","127.3199099","","","","3","https://map.naver.com/p/search/%EB%8C%80%EC%A0%84%20%EC%84%9C%EA%B5%AC%20%ED%94%BC%EB%B6%80%EA%B3%BC/place/13246628?c=10.00,0,0,0,dh","","2024-05-23 15:25:23 +0900"
